Task,Function,Arguments,Description,Package
Import,install.packages(),"package = "" ""","The name of the package you'd like to install, in quotes",utils
Import,library(),package,Loads a package and makes it available for use in R coding environment,base R
Import,readRDS(),"file = "" """,Give a file path that points to the .rds dataset you would like to load,base R
Operator,<-,NA,"Used to assign a name to R output, thereby saving it to your R environment for later use",base R
Explore,head(),object,"Returns the top 6 items from an R object, like a data frame. Specify the exact number with n = ",utils
Explore,length(),object,Returns the length of an R object,base R
Explore,ncol(),x,Returns the number of columns present in x,base R
Explore,nrow(),x,Returns the number of rows present in x,base R
Explore,dim(),x,Returns the dimensions of an object.,base R
Explore,names(),x,Returns the names of an object (e.g. the column names of a dataset),base R
Explore,summary(),object,"Provides summary data of an object. For data frames, these are summary stats like mean, median, etc.",base R
Explore,skim(),data frame,Alternative to summary(). Provides a broad overview of a data frame.,skimr
Explore,summarize(),"piped data (implicit), list of summary statistics",Can be used in combination with group_by(). Will output summary statistic for each group.,dplyr
Stats,mean(),object,Returns the mean for numeric/logical vectors. ,base R
Stats,median(),object,Returns the median for numeric vectors.,stats
Stats,sd(),object,Returns the standard deviation for numeric vectors.,stats
Stats,IQR(),object,Returns the interquartile range for numeric vectors.,stats
Operator,%>%,NA,"The R equivalent of ""and then"". Relays a data frame from one function to the next.",dplyr
Transform,sum(),object,Returns the sum of all values present in its arguments/object,base R
Transform,mutate(),"piped data (implicit), name-value pairs
ex: mutate(newColumnName = oldColumn + 1)","Adds a new variable (name) to a dataframe according to a value, hence ""name-value pair"". ",dplyr
Transform,round(),"x, digits","Rounds the values in x to the specified number of decimal places in ""digits = """,base R
Transform,as.integer(),x,Takes floating point numbers (those with decimals) and converts them to integers,base R
Conditional,case_when(),"conditional statement ~ result, …","See vignette. Used within mutate() to evaluate columns on conditional (if/else) statements, and returns a result for each row.",dplyr
Conditional,ifelse(),"condition, result if true, result if false","Takes three arguments: a conditional statement, the result if it's true, and the result if it's false. Can be used with mutate()",base R
Transform,factor(),column of data frame,"Converts numberic and character variables to ""factor"" categorical variables",base R
Tabular analysis,table(),column(s) of a data frame,"Provides one-way, two-way, and multi-way tabulation of variables from a dataset",base R
